Player,Age,Nation,Pos,Team,Performance-Gls,Performance-Ast,Performance-G+A,Performance-G-PK,Performance-PK,Performance-CrdY,Performance-CrdR,Playing Time-Min,Playing Time-MP,Playing Time-90s,Progression-PrgC,Progression-PrgP,Progression-PrgR,Expected-xG,Expected-npxG,Standard-Sh,Standard-SoT,PPA,CrsPA,KP,Total-Cmp%,Team Success-PPM,Team Success-+/-90,Tackles-Tkl,Performance-Int,Blocks-Sh,Clr,Balanced_Performance
Bertrand Traoré,27.0,bf BFA,"DF,FW",Aston-Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,3.0,0.0,1.0,0.0,0.0,1.0,2.5
Boubacar Kamara,23.0,fr FRA,MF,Aston-Villa,0.0,1.0,1.0,0.0,0.0,7.0,1.0,1652.0,20.0,18.4,19.0,83.0,10.0,0.1,0.1,5.0,1.0,12.0,0.0,20.0,89.1,2.05,0.76,43.0,21.0,7.0,16.0,164.5
Bruno Fernandes,28.0,pt POR,"MF,FW",Manchester-United,10.0,8.0,18.0,6.0,4.0,9.0,0.0,3118.0,35.0,34.6,86.0,297.0,182.0,10.0,6.1,90.0,35.0,89.0,10.0,114.0,73.0,1.69,0.09,68.0,27.0,6.0,50.0,424.5
Bruno Guimarães,25.0,br BRA,MF,Newcastle-United,7.0,8.0,15.0,7.0,0.0,9.0,0.0,3263.0,37.0,36.3,65.0,283.0,73.0,4.8,4.8,48.0,16.0,70.0,5.0,62.0,83.9,1.62,0.58,88.0,35.0,14.0,20.0,382.5
Bénie Traoré,20.0,ci CIV,"FW,MF",Sheffield-United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,8.0,4.3,7.0,9.0,14.0,0.3,0.3,1.0,1.0,7.0,1.0,4.0,77.5,0.13,-2.56,4.0,1.0,1.0,1.0,17.0
Callum Wilson,31.0,eng ENG,FW,Newcastle-United,9.0,1.0,10.0,7.0,2.0,3.0,0.0,991.0,20.0,11.0,11.0,9.0,77.0,8.8,7.2,33.0,18.0,2.0,0.0,8.0,64.4,1.65,1.36,5.0,2.0,0.0,4.0,56.0
Calum Chambers,28.0,eng ENG,"MF,DF",Aston-Villa,0.0,1.0,1.0,0.0,0.0,1.0,0.0,152.0,5.0,1.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,88.5,0.8,-1.78,3.0,2.0,1.0,4.0,15.5
Cameron Archer,22.0,eng ENG,MF,Aston-Villa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.1,1.0,0.0,0.0,5.5,5.5,42.0,9.0,7.0,2.0,23.0,80.1,3.0,0.0,0.0,0.0,0.0,0.0,34.5
Caoimhín Kelleher,24.0,ie IRL,GK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81.2,2.6,1.5,0.0,0.0,0.0,4.0,3.5
Carlton Morris,27.0,eng ENG,"FW,MF",Luton-Town,11.0,4.0,15.0,6.0,5.0,4.0,0.0,2862.0,38.0,31.8,37.0,56.0,120.0,11.4,7.5,66.0,26.0,11.0,0.0,22.0,64.4,0.68,-1.01,15.0,1.0,5.0,53.0,137.0
